AutoID,ID_Comanda,Seq,NumBatch,ID_Articulo,ID_Concepto,Tipo,Fecha,ID_Proveedor,ID_Almacen,Locacion,Cantidad,Costo,Referencia,Fecha_Mov,SeriesRef,Notas,ID_Requisicion,ID_UM,ID_UMMov,CostoXTransferencia,Descuento
1,-1,-1,1,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
2,-1,-1,2,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
3,-1,-1,3,20611,SCON,S,6/3/19,,1,General,1,$9.52,,7/24/19,,,,Pza,Pza,$0.00,$0.00
4,-1,-1,4,20003,SCON,S,6/3/19,,1,General,1,$4.50,,7/24/19,,,,Pza,Pza,$0.00,$0.00
5,-1,-1,5,20003,SCON,S,6/3/19,,1,General,1,$4.50,,7/24/19,,,,Pza,Pza,$0.00,$0.00
6,-1,-1,6,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
7,-1,-1,7,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
8,-1,-1,8,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
9,-1,-1,9,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
10,-1,-1,10,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
11,-1,-1,11,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
12,-1,-1,12,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
13,-1,-1,13,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
14,-1,-1,14,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
15,-1,-1,15,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
16,-1,-1,16,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
17,-1,-1,17,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
18,-1,-1,18,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
19,-1,-1,19,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
20,-1,-1,20,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
21,-1,-1,21,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
22,-1,-1,22,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
23,-1,-1,23,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
24,-1,-1,24,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
25,-1,-1,25,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
26,-1,-1,26,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
27,-1,-1,27,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
28,-1,-1,28,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
29,-1,-1,29,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
30,-1,-1,30,90002,SCON,S,6/3/19,,1,General,1,$0.00,,7/24/19,,,,Pza,Pza,$0.00,$0.00
